//Taille
2
//parametre de taille
0 1
1 1
//l'intervalle de la temperature pour cémentite
298.15 1768.00 1811.00 2180.00 2896. 5000. 6000.00
//l'ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
7 4 2 10
//matrice GHSERp pour ferrite
//t i j l valeur
4 3 1 0 0 2 -11.876
5 3 1 0 0 1 2085
5 3 1 0 0 2 -11.876
6 3 1 0 0 1 2085
6 3 1 0 0 2 -11.876
0 3 0 0 0 1 313
1 3 0 0 0 1 313
2 3 0 0 0 1 313
3 3 0 0 0 1 313
4 3 0 0 0 1 313
5 3 0 0 0 1 313
6 3 0 0 0 1 313
0 3 0 0 1 1 -1063
1 3 0 0 1 1 -1063
2 3 0 0 1 1 -1063
3 3 0 0 1 1 -1063
4 3 0 0 1 1 -1063
5 3 0 0 1 1 -1063
6 3 0 0 1 1 -1063
0 0 1 0 0 1 -74319
0 0 1 0 0 2 3.2353
1 0 1 0 0 1 -74319
1 0 1 0 0 2 3.2353
2 0 1 0 0 1 -74319
2 0 1 0 0 2 3.2353
3 0 1 0 0 1 -74319
3 0 1 0 0 2 3.2353
4 0 1 0 0 1 -74319
4 0 1 0 0 2 3.2353
5 0 1 0 0 1 -74319
5 0 1 0 0 2 3.2353
6 0 1 0 0 1 -74319
6 0 1 0 0 2 3.2353
0 0 1 1 0 1 10833
0 0 1 1 0 2 -7.477
0 0 1 1 1 1 1410
1 0 1 1 0 1 10833
1 0 1 1 0 2 -7.477
1 0 1 1 1 1 1410
2 0 1 1 0 1 10833
2 0 1 1 0 2 -7.477
2 0 1 1 1 1 1410
3 0 1 1 0 1 10833
3 0 1 1 0 2 -7.477
3 0 1 1 1 1 1410 
4 0 1 1 0 1 10833
4 0 1 1 0 2 -7.477
4 0 1 1 1 1 1410
5 0 1 1 0 1 10833
5 0 1 1 0 2 -7.477
5 0 1 1 1 1 1410
6 0 1 1 0 1 10833
6 0 1 1 0 2 -7.477
6 0 1 1 1 1 1410
0 0 2 1 0 1 28347
0 0 2 1 0 2 -17.691
1 0 2 1 0 1 28347
1 0 2 1 0 2 -17.691
2 0 2 1 0 1 28347
2 0 2 1 0 2 -17.691
3 0 2 1 0 1 28347
3 0 2 1 0 2 -17.691
4 0 2 1 0 1 28347
4 0 2 1 0 2 -17.691
5 0 2 1 0 1 28347
5 0 2 1 0 2 -17.691
6 0 2 1 0 1 28347
6 0 2 1 0 2 -17.691
0 0 2 0 0 1 6000
1 0 2 0 0 1 6000
2 0 2 0 0 1 6000
3 0 2 0 0 1 6000
4 0 2 0 0 1 6000
5 0 2 0 0 1 6000
6 0 2 0 0 1 6000
0 1 2 1 0 1 28890
0 1 2 1 0 2 -7.962
0 1 2 1 1 1 5974
0 1 2 1 1 2 -2.428
1 1 2 1 0 1 28890
1 1 2 1 0 2 -7.962
1 1 2 1 1 1 5974
1 1 2 1 1 2 -2.428
2 1 2 1 0 1 28890
2 1 2 1 0 2 -7.962
2 1 2 1 1 1 5974
2 1 2 1 1 2 -2.428
3 1 2 1 0 1 28890
3 1 2 1 0 2 -7.962
3 1 2 1 1 1 5974
3 1 2 1 1 2 -2.428
4 1 2 1 0 1 28890
4 1 2 1 0 2 -7.962
4 1 2 1 1 1 5974
4 1 2 1 1 2 -2.428
5 1 2 1 0 1 28890
5 1 2 1 0 2 -7.962
5 1 2 1 1 1 5974
5 1 2 1 1 2 -2.428
6 1 2 1 0 1 28890
6 1 2 1 0 2 -7.962
6 1 2 1 1 1 5974
6 1 2 1 1 2 -2.428
0 1 2 0 0 1 -10240
0 1 2 0 0 2 17.65
1 1 2 0 0 1 -10240
1 1 2 0 0 2 17.65
2 1 2 0 0 1 -10240
2 1 2 0 0 2 17.65
3 1 2 0 0 1 -10240
3 1 2 0 0 2 17.65
4 1 2 0 0 1 -10240
4 1 2 0 0 2 17.65
5 1 2 0 0 1 -10240
5 1 2 0 0 2 17.65
6 1 2 0 0 1 -10240
6 1 2 0 0 2 17.65
//l'ordre pour L2power
0 1  
//Taille pour L2
7 1 2 4 1 3
//matrice L2 pour cementite (C-Va-Fe/Cr/Mo)
0 0 1 0 0 1 -34671
1 0 1 0 0 1 -34671
2 0 1 0 0 1 -34671
3 0 1 0 0 1 -34671
4 0 1 0 0 1 -34671
5 0 1 0 0 1 -34671
6 0 1 0 0 1 -34671
0 0 1 1 0 1 -11977
0 0 1 1 0 2 6.8194
1 0 1 1 0 1 -11977
1 0 1 1 0 2 6.8194
2 0 1 1 0 1 -11977
2 0 1 1 0 2 6.8194
3 0 1 1 0 1 -11977
3 0 1 1 0 2 6.8194
4 0 1 1 0 1 -11977
4 0 1 1 0 2 6.8194
5 0 1 1 0 1 -11977
5 0 1 1 0 2 6.8194
6 0 1 1 0 1 -11977
6 0 1 1 0 2 6.8194
0 0 1 2 0 1 -41300
1 0 1 2 0 1 -41300
2 0 1 2 0 1 -41300
3 0 1 2 0 1 -41300
4 0 1 2 0 1 -41300
5 0 1 2 0 1 -41300
6 0 1 2 0 1 -41300
//l'ordre pour L3power
0 1
//Taille pour L3ini
7 4 2 3 2 1 2
//matrice L3ini pour (?-?-?-C/Va)
0 3 1 2 1 0 1 -10000
1 3 1 2 1 0 1 -10000
2 3 1 2 1 0 1 -10000
3 3 1 2 1 0 1 -10000
4 3 1 2 1 0 1 -10000
5 3 1 2 1 0 1 -10000
6 3 1 2 1 0 1 -10000
//l'ordre pour L0power
0
//Taille pour L0
7 1 1 1 1 1 1
//matrice L0 pour ferrite (Fe-Cr-C-Va)
0 0 0 0 0 0 0 0
//l'ordre pour TCpower
0
//Taille pour TC
7 4 2 2
//matrice TC pour cementite
//t i j l valeur
0 0 0 1 -201
1 0 0 1 -201
2 0 0 1 -201
3 0 0 1 -201
4 0 0 1 -201
5 0 0 1 -201
6 0 0 1 -201
0 0 1 1 -201
1 0 1 1 -201
2 0 1 1 -201
3 0 1 1 -201
4 0 1 1 -201
5 0 1 1 -201`
6 0 1 1 -201
0 1 1 1 -1109
1 1 1 1 -1109
2 1 1 1 -1109
3 1 1 1 -1109
4 1 1 1 -1109
5 1 1 1 -1109
6 1 1 1 -1109
0 3 1 1 1396
1 3 1 1 1396
2 3 1 1 1396
3 3 1 1 1396
4 3 1 1 1396
5 3 1 1 1396
6 3 1 1 1396
//l'ordre pour TC1power
0
//Taille pour TC1
7 4 3 2 2 2
//matrice TC1 pour cementite (Fe-Cr-C/Va)
//t i j k l m valeur
0 3 1 1 0 1 -1795
1 3 1 1 0 1 -1795
2 3 1 1 0 1 -1795
3 3 1 1 0 1 -1795
4 3 1 1 0 1 -1795
5 3 1 1 0 1 -1795
6 3 1 1 0 1 -1795
0 3 0 1 0 1 283
1 3 0 1 0 1 283
2 3 0 1 0 1 283
3 3 0 1 0 1 283
4 3 0 1 0 1 283
5 3 0 1 0 1 283
6 3 0 1 0 1 283
0 3 0 1 1 1 879
1 3 0 1 1 1 879
2 3 0 1 1 1 879
3 3 0 1 1 1 879
4 3 0 1 1 1 879
5 3 0 1 1 1 879
6 3 0 1 1 1 879
//l'ordre pour BMAGpower
0
//Taille pour BMAG
7 4 2 2
//matrice BMAG pour cementite
//t i j l valeur
0 0 0 1 -2.1
1 0 0 1 -2.1
2 0 0 1 -2.1
3 0 0 1 -2.1
4 0 0 1 -2.1
5 0 0 1 -2.1
6 0 0 1 -2.1
0 0 1 1 -2.1
1 0 1 1 -2.1
2 0 1 1 -2.1
3 0 1 1 -2.1
4 0 1 1 -2.1
5 0 1 1 -2.1
6 0 1 1 -2.1
0 1 1 1 -2.46
1 1 1 1 -2.46
2 1 1 1 -2.46
3 1 1 1 -2.46
4 1 1 1 -2.46
5 1 1 1 -2.46
6 1 1 1 -2.46
0 3 1 1 1.35
1 3 1 1 1.35
2 3 1 1 1.35
3 3 1 1 1.35
4 3 1 1 1.35
5 3 1 1 1.35
6 3 1 1 1.35
//l'ordre pour BMAG1power
0
//Taille pour BMAG1
7 4 2 2 2 2
//matrice BMAG1 pour cementite (Fe-Cr-C/Va)
//t i j k l m valeur
0 3 0 1 0 1 9.74
1 3 0 1 0 1 9.74
2 3 0 1 0 1 9.74
3 3 0 1 0 1 9.74
4 3 0 1 0 1 9.74
5 3 0 1 0 1 9.74
6 3 0 1 0 1 9.74
0 3 0 1 1 1 -3.516
1 3 0 1 1 1 -3.516
2 3 0 1 1 1 -3.516
3 3 0 1 1 1 -3.516
4 3 0 1 1 1 -3.516
5 3 0 1 1 1 -3.516
6 3 0 1 1 1 -3.516
//parametre p
0.28 3.
